Ingredient` g/ml 
allspice, ground` 0.42 
lentils` 0.85 
macaroni, uncooked` 0.49 
mace, ground` 0.35 
margarine` 0.93 
marjoram, dried` 0.11 
marshmallows, small` 0.21 
mashed potatoes` 0.89 
mayonnaise` 0.93 
milk` 1.00 
milk, evaporated` 0.93 
milk, powdered` 0.49 
millet flour` 0.50 
molasses` 1.45 
mulberries, raw` 0.59 
mushrooms, Chinese black` 0.21 
mushrooms, chopped` 0.32 
mushrooms, sliced` 0.28 
mushrooms, whole` 0.25 
mustard seed` 0.64 
mustard seed, ground` 0.42 
mustard, dry` 0.49 
mustard, prepared` 1.06 
nutmeg, ground` 0.47 
oatmeal, uncooked` 0.34 
oats, rolled` 0.34 
oats, steel-cut` 0.68 
oil, vegetable` 0.89 
olive oil` 0.81 
olives, chopped` 0.76 
onion, chopped` 0.64 
onion, minced` 0.85 
onion, sliced` 0.55 
orange rind, grated` 0.38 
oregano, dried, ground` 0.36 
oregano, dried, leaves` 0.20 
oreo cookies, crushed` 0.51 
paprika` 0.49 
paprika powder` 0.45 
parsley, dried` 0.11 
parsley, fresh` 0.17 
pasta, egg noodles` 0.38 
pasta, macaroni` 0.49 
peanut butter` 0.76 
peanuts` 0.62 
peanuts, chopped` 0.68 
peanuts, oil roasted` 0.64 
peas, green, raw` 0.61 
peas, uncooked` 0.64 
pecans` 0.46 
pecans, chopped` 0.51 
pecans, ground` 0.42 
pecans, shelled` 0.51 
pepper, black, ground` 0.46 
pepper, white, ground` 0.47 
peppercorns, black` 0.57 
peppercorns, white` 0.64 
peppers, chopped chili` 0.72 
pignolias (pine nuts)` 0.53 
pistachio nuts, raw` 0.52 
poppy seeds` 0.58 
potato flour` 0.68 
potatoes, cooked diced` 0.85 
potatoes, mashed` 0.89 
potatoes, sliced raw` 0.76 
pumpkin pie spice` 0.37 
pumpkin, cooked` 0.76 
quinoa, uncooked` 0.72 
raisins, seedless, not packed` 0.61 
raisins, seedless, packed` 0.70 
raspberries, raw` 0.52 
rice flour, brown` 0.67 
rice flour, white` 0.67 
rice, arborio uncooked` 0.77 
rice, brown, long-grain, uncooked` 0.78 
rice, brown, medium-grain, uncooked` 0.80 
rice, steamed` 0.68 
rice, uncooked` 0.89 
rice, uncooked Basmati` 0.83 
rice, uncooked Jasmin` 0.78 
rice, white, glutinous, uncooked` 0.78 
rice, white, short-grain, uncooked` 0.85 
rice, wild, uncooked` 0.61 
rosemary, dried` 0.22 
rosemary, fresh` 0.11 
rum (40%)` 0.94 
rye flour, dark` 0.54 
rye flour, light` 0.43 
rye flour, medium` 0.43 
saffron` 0.14 
sage, ground` 0.13 
salt` 1.02 
salt, table` 1.20 
scallions (green onions)` 0.21 
sesame seeds` 0.68 
shallots` 1.02 
sour cream` 0.51 
soy sauce` 1.07 
soymilk` 1.03 
spaghetti, uncooked` 0.51 
spearmint, dried` 0.11 
spinach, cooked` 0.76 
split peas` 0.85 
strawberries, raw, halves` 0.64 
strawberries, raw, pureed` 0.98 
sugar` 0.87 
sugar, brown` 0.85 
sugar, castor` 0.81 
sugar, confectioner's` 0.55 
sugar, granulated` 0.87 
sugar, powdered` 0.55 
sultanas` 0.64 
sunflower seeds, shelled` 0.56 
sweet potatoes, cooked` 1.02 
sweet potatoes, raw` 0.76 
syrup, corn, dark` 1.39 
syrup, corn, light` 1.44 
syrups, maple` 1.33 
tabasco` 0.96 
tarragon, dried leaves` 0.12 
tea` 0.32 
thyme, dried, leaves` 0.18 
thyme, fresh` 0.16 
tiger lily blossoms` 0.17 
tomato paste` 1.10 
tomato puree` 1.06 
tomatoes, chopped` 0.68 
tomatoes, crushed, canned` 1.08 
tuna, canned` 0.85 
turmeric, ground` 0.59 
vanilla extract` 0.88 
vanilla wafers, crushed` 0.68 
vinegar, balsamic` 1.08 
vinegar, cider` 1.01 
vodka, 40%` 0.94 
walnuts, chopped` 0.49 
walnuts, ground` 0.36 
walnuts, shelled` 0.51 
water` 1.00 
wheat flour, whole-grain` 0.51 
wheat germ` 0.53 
wild rice` 0.61 
wine, red` 0.99 
wine, white` 0.99 
yeast, active dry` 1.23 
